,train_dataset,test_dataset,samples,train_time,accuracy,precision,recall,f1
74,ECG5000,Earthquakes,500,616.9164471626282,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
75,ECG5000,ElectricDevices,1000,419.94811058044434,0.6425425799101235,0.6785670409089631,0.6425425799101235,0.6033421526360766
76,ECG5000,EthanolLevel,1000,419.94811058044434,0.25098459796824263,0.6235886719175966,0.25098459796824263,0.16582639425202153
77,ECG5000,Phoneme,1000,419.94811058044434,0.18199060304323464,0.7228440053295525,0.18199060304323464,0.08512314683802673
78,ECG5000,ECG5000,1000,419.94811058044434,0.9292005944549385,0.9138692092591504,0.9292005944549385,0.9033140956407827
79,ECG5000,Earthquakes,1000,419.94811058044434,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
80,Earthquakes,ElectricDevices,50,24.500922918319702,0.6963381488658237,0.6859631346932815,0.6963381488658237,0.6662026330726513
81,Earthquakes,EthanolLevel,50,24.500922918319702,0.2549736348199124,0.6260755839187311,0.2549736348199124,0.16897233331083675
82,Earthquakes,Phoneme,50,24.500922918319702,0.18530903810509072,0.6228436474460354,0.18530903810509072,0.10069442345595418
83,Earthquakes,ECG5000,50,24.500922918319702,0.9148005933027079,0.9209539700125897,0.9148005933027079,0.885422442770635
84,Earthquakes,Earthquakes,50,24.500922918319702,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
85,Earthquakes,ElectricDevices,100,45.48444867134094,0.7003054920829923,0.7011043700721534,0.7003054920829923,0.6749808280455053
86,Earthquakes,EthanolLevel,100,45.48444867134094,0.24800846069055918,0.6229616270054712,0.24800846069055918,0.16551946985234964
87,Earthquakes,Phoneme,100,45.48444867134094,0.17725036639510325,0.7211140527438281,0.17725036639510325,0.08461204738324873
88,Earthquakes,ECG5000,100,45.48444867134094,0.9170008735347769,0.9233061454165762,0.9170008735347769,0.8876288798238843
89,Earthquakes,Earthquakes,100,45.48444867134094,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
90,Earthquakes,ElectricDevices,500,216.26649141311646,0.7312024003197131,0.7382709710745479,0.7312024003197131,0.7160229275083005
91,Earthquakes,EthanolLevel,500,216.26649141311646,0.2440194238388894,0.6206594840427372,0.2440194238388894,0.1626511402626719
92,Earthquakes,Phoneme,500,216.26649141311646,0.18815129423682056,0.6724815079399106,0.18815129423682056,0.09690755984882833
93,Earthquakes,ECG5000,500,216.26649141311646,0.9196008337348137,0.9254708452001809,0.9196008337348137,0.8900790632373381
94,Earthquakes,Earthquakes,500,216.26649141311646,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
95,Earthquakes,ElectricDevices,1000,1065.09242105484,0.7453277671860704,0.754369207993537,0.7453277671860704,0.7298787639135297
96,Earthquakes,EthanolLevel,1000,1065.09242105484,0.25497065570351835,0.6256586514769077,0.25497065570351835,0.16888376717991396
97,Earthquakes,Phoneme,1000,1065.09242105484,0.16919169468511575,0.7104284609686556,0.16919169468511575,0.08479534683868632
98,Earthquakes,ECG5000,1000,1065.09242105484,0.9162007934547544,0.9227049241862257,0.9162007934547544,0.8868994777623863
99,Earthquakes,Earthquakes,1000,1065.09242105484,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
