,test_dataset,train_time,accuracy,precision,recall,f1
77,SonyAIBORobotSurface1,865.4357106685638,0.9581320450885668,0.9583348831497434,0.9581320450885668,0.9581286985741321
78,CBF,865.4357106685638,0.9978494623655915,0.9978700421442356,0.9978494623655915,0.9978494121721585
79,ACSF1,865.4357106685638,0.3603949947233529,0.649369679058193,0.3603949947233529,0.2919991081295716
80,PickupGestureWiimoteZ,865.4357106685638,0.11021984551396317,0.9182591485792178,0.11021984551396317,0.046472217060452355
81,SemgHandSubjectCh2,865.4357106685638,0.508888888888889,0.5389570645954914,0.508888888888889,0.4991838521937466
82,Trace,865.4357106685638,0.8197648123021257,0.8579460370188393,0.8197648123021257,0.8012892636662491
83,SmallKitchenAppliances,865.4357106685638,0.644,0.6549936257268089,0.644,0.6179673994776653
84,Lightning2,865.4357106685638,0.6113821138211382,0.763780487804878,0.6113821138211382,0.4716513997719163
85,ItalyPowerDemand,865.4357106685638,0.9516455822541608,0.9518093314773447,0.9516455822541608,0.9516428427906486
86,AllGestureWiimoteZ,865.4357106685638,0.18006929084773396,0.4138969827912555,0.18006929084773396,0.11587906732746951
87,ChlorineConcentration,865.4357106685638,0.5646624544239871,0.759846399732733,0.5646624544239871,0.4324580680858005
88,ShapesAll,865.4357106685638,0.36166666666666664,0.642708547373959,0.36166666666666664,0.2851027356710952
89,Plane,865.4357106685638,0.9952380952380953,0.9956709956709956,0.9952380952380953,0.9952261606396945
90,SyntheticControl,865.4357106685638,0.9833333333333334,0.9838465537730244,0.9833333333333334,0.983301386046357
91,ElectricDevices,865.4357106685638,0.7289788571600141,0.7434014135665589,0.7289788571600141,0.7128761475271426
92,InsectEPGSmallTrain,865.4357106685638,1.0,1.0,1.0,1.0
93,LargeKitchenAppliances,865.4357106685638,0.7440000000000001,0.7515241273784085,0.7440000000000001,0.7430615791996872
94,GesturePebbleZ1,865.4357106685638,0.24005047563579884,0.48010636103304777,0.24005047563579884,0.18216714512643364
95,CricketZ,865.4357106685638,0.4512820512820513,0.4763520373441501,0.4512820512820513,0.4357817638794577
